Note author: ONLY [N]T has 1 allocs, it's okey, SEE performance recommendations in func's description or in utils/README.md

goos: darwin
goarch: arm64
pkg: github.com/lif0/pkg/utils/reflect
cpu: Apple M2
BenchmarkEstimatePayloadOf/*[100]*int16{nil}-8    	        327631520	         3.298 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/int32-8                	        482584076	         2.500 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*int32-8               	        491280788	         2.408 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int32-8              	        418005104	         2.704 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int32-8             	        477373412	         2.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int32-8             	        30380002	         44.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int32-8            	        30672950	         39.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int32-8           	        97452691	         12.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int32-8          	        100000000	         10.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int32-8          	        30841588	         38.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int32-8         	        31666863	         38.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int32{nil}-8         	        484565005	         2.483 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int32{nil}-8        	        495542440	         2.377 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int32{nil}-8        	        451040776	         2.630 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int32{nil}-8       	        451656873	         2.660 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int32{nil}-8      	        93944796	         12.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int32{nil}-8     	        338394404	         3.595 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int32{nil}-8     	         4549164	         259.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int32{nil}-8    	        335667190	         3.740 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/int64-8                	        448810510	         2.728 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*int64-8               	        482103822	         2.434 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int64-8              	        447296857	         2.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int64-8             	        417445813	         2.680 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int64-8             	        30242728	         39.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int64-8            	        31113607	         37.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int64-8           	        63701451	         18.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int64-8          	        100000000	         11.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int64-8          	        31541664	         38.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int64-8         	        31619580	         37.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]int64{nil}-8         	        485522413	         2.589 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]int64{nil}-8        	        450742455	         2.734 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*int64{nil}-8        	        440366568	         2.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*int64{nil}-8       	        439538703	         2.690 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]int64{nil}-8      	        63855546	         19.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]int64{nil}-8     	        280606960	         4.218 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*int64{nil}-8     	         4640060	         260.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*int64{nil}-8    	        366175875	         3.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/uint-8                 	        478083045	         2.489 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*uint-8                	        506045930	         2.421 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint-8               	        439107860	         2.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint-8              	        452473118	         2.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint-8              	        30991501	         39.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint-8             	        30947642	         45.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint-8            	        61816502	         19.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint-8           	        100000000	         10.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint-8           	        30951566	         38.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint-8          	        31110280	         38.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint{nil}-8          	        474998895	         2.529 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint{nil}-8         	        445967132	         2.691 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint{nil}-8         	        448157094	         2.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint{nil}-8        	        424273323	         2.939 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint{nil}-8       	        56419255	         19.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint{nil}-8      	        336408158	         3.591 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint{nil}-8      	         4599328	         262.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint{nil}-8     	        337664781	         3.654 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/uint8-8                	        450661274	         2.715 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*uint8-8               	        404999492	         3.302 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint8-8              	        448214077	         2.689 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint8-8             	        487999448	         2.425 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint8-8             	        30402708	         40.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint8-8            	        31300604	         38.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint8-8           	        121922772	         10.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint8-8          	        100000000	         10.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint8-8          	        30561081	         40.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint8-8         	        30431750	         38.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint8{nil}-8         	        419354856	         2.741 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint8{nil}-8        	        490175469	         2.501 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint8{nil}-8        	        456748676	         2.649 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint8{nil}-8       	        438899342	         2.775 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint8{nil}-8      	        121865970	         9.503 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint8{nil}-8     	        360221220	         3.277 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint8{nil}-8     	         4636302	         262.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint8{nil}-8    	        330825036	         3.578 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/uint16-8               	        523381524	         2.631 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*uint16-8              	        396291536	         2.982 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint16-8             	        451388725	         2.692 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint16-8            	        450953343	         2.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint16-8            	        18044287	         67.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint16-8           	        31195028	         38.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint16-8          	        100000000	         10.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint16-8         	        100000000	         10.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint16-8         	        17383063	         66.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint16-8        	        31205778	         42.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint16{nil}-8        	        484482430	         2.601 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint16{nil}-8       	        429913756	         2.794 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint16{nil}-8       	        480086655	         2.480 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint16{nil}-8      	        425255133	         2.762 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint16{nil}-8     	        130411918	         9.443 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint16{nil}-8    	        368899704	         3.662 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint16{nil}-8    	         4634846	         266.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint16{nil}-8   	        330602835	         3.612 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/uint32-8               	        533267266	         2.264 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*uint32-8              	        545511676	         2.185 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint32-8             	        499400026	         2.415 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint32-8            	        493084657	         2.456 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint32-8            	        30574092	         39.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint32-8           	        32349699	         38.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint32-8          	        97905898	         12.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint32-8         	        100000000	         10.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint32-8         	        26264167	         38.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint32-8        	        32401927	         38.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]uint32{nil}-8        	        532390705	         2.261 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]uint32{nil}-8       	        497165894	         2.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[]*uint32{nil}-8       	        451357740	         2.684 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[]*uint32{nil}-8      	        447910635	         2.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]uint32{nil}-8     	        94026385	         13.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]uint32{nil}-8    	        336341368	         3.625 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/[100]*uint32{nil}-8    	         4641150	         260.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*[100]*uint32{nil}-8   	        368847451	         3.340 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/uint64-8               	        533392005	         2.327 ns/op	       0 B/op	       0 allocs/op
BenchmarkEstimatePayloadOf/*uint64-8              	        507755524	         2.369 ns/op	       0 B/op	       0 allocs/op
